"3gram","Frequency","Total Tweets"
"俄罗斯","1921","1302"
"半导体","1745","1058"
"亿美元","1673","1392"
"新加坡","1621","1215"
"投资者","1294","1133"
"在中国","1247","1100"
"该公司","1223","1122"
"菲律宾","1180","792"
"中国的","1107","1031"
"特朗普","998","777"
"南洋商","908","907"
"洋商报","908","907"
"特斯拉","890","596"
"电动汽","834","650"
"动汽车","834","651"
"人工智","828","706"
"工智能","807","689"
"新冠疫","799","727"
"在日本","795","694"
"乌克兰","785","615"
"在美国","784","726"
"国政府","780","741"
"公司的","753","708"
"人民币","746","613"
"果公司","745","613"
"苹果公","733","604"
"美联储","705","522"
"英伟达","695","490"
"进一步","692","677"
"对中国","670","631"
"消费者","659","608"
"日本的","657","596"
"马来西","654","621"
"来西亚","654","621"
"台积电","651","424"
"冠病疫","642","610"
"中国大","629","584"
"可能会","622","605"
"国经济","615","531"
"制造商","606","576"
"的中国","600","575"
"最大的","572","557"
"越来越","558","541"
"美国的","549","515"
"中国国","548","531"
"以色列","542","403"
"国大陆","536","494"
"美元的","531","510"
"知情人","531","493"
"情人士","528","490"
"外交部","520","469"
"冠疫情","501","482"
"亿日元","493","378"
"的情况","492","484"
"分析师","488","463"
"供应链","488","433"
"同比增","479","399"
"华尔街","464","452"
"星期五","461","456"
"的影响","455","448"
"零部件","454","339"
"委员会","444","415"
"的日本","435","403"
"市场的","434","418"
"的经济","431","413"
"星期一","428","421"
"半導體","422","220"
"星期三","413","408"
"国企业","410","362"
"纯电动","409","283"
"以来的","406","401"
"星期天","406","402"
"习近平","405","333"
"马斯克","405","296"
"有可能","404","398"
"密货币","401","290"
"加密货","400","289"
"年以来","396","388"
"病疫情","393","387"
"企业的","392","366"
"与中国","391","373"
"国总统","386","379"
"国国家","386","383"
"股闻天","386","385"
"闻天下","386","385"
"机器人","383","243"
"电动车","378","287"
"在全球","377","365"
"据显示","377","369"
"大规模","377","368"
"星期二","375","368"
"中国海","373","299"
"星期六","373","367"
"的投资","372","348"
"是中国","371","360"
"的美国","369","361"
"数据显","367","360"
"中国政","365","347"
"美国国","361","338"
"全球最","359","347"
"中国经","350","307"
"房地产","349","288"
"天然气","344","235"
"加拿大","342","263"
"的需求","342","331"
"亚马逊","340","259"
"比特币","339","201"
"情况下","337","335"
"意味着","336","327"
"首席执","336","323"
"席执行","336","323"
"星期四","335","327"
"执行官","334","321"
"自己的","328","312"
"经济学","328","294"
"日本企","327","282"
"中国人","327","312"
"日本国","326","295"
"经济增","318","291"
"总统特","317","317"
"在中國","316","255"
"来的最","316","308"
"统特朗","315","315"
"领导人","314","290"
"国股市","311","296"
"智能手","311","275"
"士透露","308","307"
"人士透","307","306"
"美国股","306","291"
"澳大利","301","258"
"东南亚","300","266"
"冠疫苗","298","251"
"美国总","297","293"
"社交媒","294","283"
"和其他","293","288"
"原因是","291","289"
"国市场","291","268"
"对美国","290","283"
"济学家","290","264"
"人死亡","288","284"
"销售额","288","235"
"的国家","286","278"
"科技巨","285","277"
"和中国","284","278"
"合人民","282","250"
"巴菲特","279","193"
"以来最","277","273"
"是一个","277","270"
"的全球","276","272"
"济增长","276","256"
"奥运会","276","210"
"交媒体","275","264"
"来首次","274","269"
"阿里巴","273","204"
"里巴巴","272","204"
"公司在","272","270"
"的最新","271","267"
"的数据","271","265"
"中國的","271","243"
"能手机","269","242"
"国家的","268","254"
"大利亚","268","234"
"世界杯","268","190"
"月以来","267","259"
"的价格","267","259"
"万美元","267","248"
"比增长","266","227"
"的风险","261","258"
"日本政","261","247"
"技巨头","260","252"
"中国在","260","250"
"的一个","258","254"
"本国内","258","232"
"的问题","256","250"
"通货膨","256","244"
"比亚迪","256","169"
"净利润","255","203"
"货膨胀","255","243"
"本政府","255","241"
"密克戎","255","214"
"奥密克","254","213"
"的担忧","253","253"
"美国和","251","250"
"年同期","251","235"
"创始人","249","243"
"病疫苗","249","231"
"在北京","248","242"
"疫苗接","248","219"
"联合国","247","217"
"中国企","247","215"
"苗接种","246","217"
"管机构","245","231"
"疫苗的","245","212"
"创新高","245","233"
"的出口","245","219"
"发言人","244","237"
"监管机","244","230"
"中国电","242","217"
"公布的","241","236"
"发布的","241","238"
"大部分","241","237"
"车制造","239","221"
"个国家","239","229"
"英特尔","238","176"
"互联网","238","212"
"竞争对","238","227"
"重要的","237","235"
"年轻人","237","196"
"的最高","237","231"
"球最大","235","231"
"争对手","235","224"
"本企业","235","203"
"科学家","233","223"
"的公司","233","227"
"中国市","233","217"
"为中国","233","232"
"交易所","232","211"
"美国政","231","226"
"南中国","231","197"
"政府的","231","230"
"家主席","231","228"
"来越多","230","227"
"制造业","229","190"
"日本人","229","182"
"的企业","229","213"
"与美国","229","222"
"的技术","228","220"
"科技股","228","194"
"史新高","228","222"
"高水平","227","222"
"技公司","226","214"
"的重要","226","223"
"科技公","225","213"
"空公司","225","204"
"中国和","224","221"
"新冠病","224","206"
"億日元","223","158"
"的中國","223","208"
"航空公","223","201"
"墨西哥","223","171"
"的可能","222","217"
"在今年","222","220"
"国科技","221","216"
"地区的","221","217"
"万亿日","221","160"
"带来的","220","217"
"之间的","220","213"
"的主要","220","219"
"的最大","218","215"
"马可斯","218","168"
"土耳其","218","146"
"汽车制","217","201"
"前总统","217","213"
"国防部","217","194"
"供应商","216","195"
"尔街日","215","215"
"国公司","214","193"
"街日报","214","214"
"国民党","214","166"
"一系列","213","212"
"的股票","212","199"
"疫情前","212","190"
"在内的","211","206"
"他们的","211","206"
"人士称","210","203"
"万日元","210","165"
"美国经","209","182"
"产品的","209","203"
"母公司","209","201"
"可能性","208","200"
"家公司","208","199"
"无人机","207","149"
"大熊猫","207","117"
"是日本","207","198"
"向中国","207","199"
"万亿美","206","166"
"一方面","206","177"
"农历新","206","188"
"付费精","206","206"
"费精选","206","206"
"背景下","204","204"
"候选人","204","170"
"办公室","204","184"
"历新年","204","186"
"行业的","204","195"
"价格上","204","186"
"片制造","203","196"
"计划在","203","203"
"的计划","202","200"
"经济的","202","194"
"连续第","201","192"
"约合人","201","183"
"为什么","200","187"
"一部分","199","196"
"全球经","199","177"
"球经济","199","177"
"于中国","199","199"
"中国公","198","181"
"领域的","197","191"
"上半年","195","163"
"确诊病","195","176"
"新一代","194","167"
"的背景","194","191"
"中国科","194","187"
"使用的","194","187"
"华盛顿","194","183"
"公司将","193","190"
"诊病例","193","174"
"亿新元","192","191"
"和美国","192","192"
"预计将","191","187"
"可能是","190","187"
"专栏记","190","190"
"栏记者","190","190"
"罗斯的","190","174"
"动驾驶","190","129"
"小马可","189","164"
"自动驾","189","128"
"意大利","188","155"
"的半导","188","169"
"人民幣","187","128"
"中国外","186","173"
"美国联","186","181"
"最高水","186","181"
"習近平","186","110"
"研究人","184","176"
"冠病毒","184","169"
"印度尼","182","179"
"度尼西","182","179"
"创办人","182","175"
"国家主","181","178"
"方面的","181","179"
"出现了","181","179"
"国联邦","180","176"
"几个月","180","177"
"举行的","180","179"
"总统普","180","179"
"个百分","180","151"
"管理局","179","168"
"今年的","179","177"
"是美国","177","174"
"對中國","177","157"
"尼西亚","177","174"
"历史新","177","173"
"最后一","177","173"
"人受伤","177","177"
"拜登政","177","171"
"罗斯总","177","174"
"斯总统","177","174"
"百分点","177","150"
"在印度","176","141"
"的市场","175","171"
"大多数","174","172"
"增长的","174","167"
"美国人","174","167"
"巴勒斯","173","140"
"勒斯坦","173","140"
"进行了","173","171"
"这样的","173","169"
"的新冠","173","169"
"登政府","173","167"
"當地時","172","169"
"地時間","172","169"
"国外交","172","164"
"不确定","171","169"
"财政部","171","161"
"近年来","171","171"
"年来最","171","169"
"太平洋","171","153"
"亿令吉","170","162"
"汽车的","170","161"
"的方式","169","167"
"目前的","169","168"
"的销售","169","162"
"在香港","169","162"
"迪士尼","169","116"
"了一个","168","167"
"中國國","168","152"
"西班牙","168","139"
"为全球","168","168"
"家安全","168","157"
"面临的","168","165"
"的时间","166","165"
"尤其是","166","166"
"芯片制","165","159"
"卡塔尔","165","136"
"技术的","165","161"
"的目标","165","160"
"被认为","165","165"
"有助于","165","164"
"中国官","165","165"
"究人员","164","159"
"地缘政","164","159"
"缘政治","164","159"
"气候变","164","143"
"是中國","164","152"
"国电动","164","144"
"的发展","164","160"
"在未来","164","164"
"外国人","163","130"
"开发出","163","142"
"是什么","162","157"
"核电站","162","125"
"世界上","162","161"
"可能在","162","157"
"的工作","161","153"
"商务部","160","151"
"上市的","160","154"
"的竞争","160","152"
"运动员","160","124"
"的供应","159","156"
"的交易","159","155"
"億美元","159","112"
"生成式","159","134"
"基础设","159","155"
"集装箱","159","107"
"统普京","158","157"
"的原因","157","157"
"的世界","157","150"
"础设施","157","154"
"新能源","157","121"
"相当于","157","151"
"的生活","157","151"
"格上涨","157","146"
"经济体","156","150"
"元贬值","156","119"
"阿根廷","156","115"
"莫斯科","155","148"
"卫生部","155","145"
"人士说","155","149"
"哈马斯","155","115"
"比亞迪","155","86"
"律宾总","155","152"
"奧運會","155","114"
"中心的","154","152"
"宾总统","154","151"
"的产品","154","152"
"年来的","154","153"
"业务的","154","147"
"的研究","153","150"
"黄仁勋","153","125"
"國企業","153","124"
"主席习","153","153"
"席习近","153","153"
"的生产","153","146"
"阿拉伯","153","136"
"在台湾","153","141"
"子公司","152","142"
"公司正","152","150"
"自中国","152","147"
"比增長","151","113"
"其中一","151","150"
"上年同","151","145"
"世界第","151","140"
"国家安","151","146"
"据知情","151","150"
"年全球","150","138"
"过去一","150","148"
"是因为","150","145"
"制措施","150","144"
"种疫苗","150","126"
"市场上","149","146"
"在星期","149","148"
"旗下的","149","146"
"巴黎奥","149","137"
"黎奥运","149","137"
"候变化","148","130"
"着中国","148","148"
"被称为","148","145"
"日本将","148","137"
"日元贬","148","112"
"年来首","148","145"
"巴黎奧","148","116"
"黎奧運","148","116"
"到中国","147","146"
"的一部","146","146"
"政策的","146","144"
"未来几","146","144"
"调查显","146","146"
"查显示","146","146"
"多年来","146","145"
"增加了","146","142"
"力中國","146","146"
"标志着","145","142"
"民进党","145","123"
"聯合國","145","89"
"魅力中","145","145"
"東西問","145","133"
"是为了","144","139"
"的预期","144","140"
"研究所","144","136"
"为美国","144","143"
"国央行","144","122"
"收益率","144","113"
"工作的","144","136"
"的支持","144","136"
"了中国","144","143"
"尹锡悦","144","114"
"将成为","143","140"
"一直在","143","142"
"的关键","143","142"
"的第一","143","141"
"发布了","143","141"
"分之一","142","137"
"新一轮","142","141"
"日本股","142","100"
"的消费","142","134"
"开发的","142","140"
"媒体报","142","141"
"严重的","142","139"
"比上年","141","134"
"来最大","141","138"
"鲍威尔","141","118"
"比下降","141","132"
