"4gram","Frequency","Total Tweets"
"南洋商报","976","975"
"电动汽车","836","653"
"人工智能","833","710"
"苹果公司","747","616"
"马来西亚","676","640"
"知情人士","546","507"
"中国大陆","536","494"
"新冠疫情","501","482"
"加密货币","403","291"
"冠病疫情","395","389"
"股闻天下","387","386"
"总统特朗","377","377"
"统特朗普","377","377"
"数据显示","376","369"
"美国总统","353","349"
"中国政府","350","333"
"中国经济","346","302"
"首席执行","341","328"
"席执行官","339","326"
"亿美元的","332","321"
"人士透露","315","314"
"纯电动汽","311","237"
"中国国家","305","303"
"新冠疫苗","298","251"
"经济学家","297","271"
"经济增长","288","268"
"社交媒体","282","271"
"智能手机","280","252"
"阿里巴巴","277","209"
"澳大利亚","272","238"
"情人士透","270","269"
"科技巨头","270","262"
"的情况下","260","260"
"美国股市","259","252"
"通货膨胀","258","246"
"日本国内","257","231"
"日本政府","256","242"
"奥密克戎","254","213"
"冠病疫苗","249","231"
"同比增长","248","216"
"中国企业","247","215"
"监管机构","247","233"
"疫苗接种","246","217"
"全球最大","237","233"
"竞争对手","237","226"
"中国市场","235","219"
"日本企业","234","202"
"越来越多","232","229"
"南中国海","231","197"
"科技公司","230","218"
"美国政府","228","224"
"航空公司","227","206"
"以来的最","223","220"
"车制造商","221","207"
"汽车制造","219","203"
"万亿日元","217","156"
"华尔街日","216","216"
"尔街日报","215","215"
"美国经济","214","185"
"全球经济","207","184"
"万亿美元","207","168"
"付费精选","206","206"
"农历新年","205","187"
"约合人民","200","182"
"合人民币","199","181"
"确诊病例","193","174"
"专栏记者","191","191"
"小马可斯","190","165"
"自动驾驶","190","129"
"的半导体","189","170"
"的可能性","185","180"
"印度尼西","184","181"
"俄罗斯的","184","169"
"国家主席","180","177"
"个百分点","180","153"
"當地時間","177","174"
"国总统特","176","176"
"度尼西亚","175","173"
"罗斯总统","175","172"
"俄罗斯总","174","171"
"历史新高","174","170"
"巴勒斯坦","174","141"
"新冠病毒","174","160"
"最高水平","173","168"
"拜登政府","173","167"
"地缘政治","169","164"
"美国联邦","166","162"
"研究人员","165","160"
"的背景下","164","164"
"主席习近","163","163"
"席习近平","163","163"
"芯片制造","163","158"
"斯总统普","162","162"
"家主席习","161","161"
"基础设施","160","157"
"总统普京","160","159"
"国国家主","159","159"
"国外交部","159","152"
"价格上涨","157","146"
"菲律宾总","155","152"
"律宾总统","154","151"
"国家安全","153","148"
"据知情人","152","151"
"巴黎奥运","149","137"
"巴黎奧運","148","116"
"气候变化","148","130"
"特朗普的","147","140"
"调查显示","147","147"
"魅力中國","146","146"
"经济衰退","145","138"
"外交部长","145","136"
"同比增長","144","108"
"日元贬值","144","108"
"在中国的","143","137"
"的一部分","142","142"
"中国外交","142","136"
