"4gram","Frequency","Total Tweets"
"电动汽车","283","223"
"马来西亚","182","179"
"冠病疫情","173","172"
"新冠疫情","169","164"
"苹果公司","164","127"
"知情人士","158","142"
"中国大陆","153","138"
"奥密克戎","153","127"
"纯电动汽","152","116"
"加密货币","144","92"
"通货膨胀","135","130"
"经济学家","122","110"
"俄罗斯的","119","110"
"中国政府","113","107"
"中国经济","113","105"
"日本国内","108","98"
"日本企业","107","87"
"万亿日元","104","71"
"日元贬值","104","70"
"数据显示","104","102"
"对俄罗斯","103","99"
"亿美元的","103","100"
"人士透露","98","97"
"首席执行","93","91"
"席执行官","93","91"
"美国股市","92","89"
"全球经济","89","82"
"智能手机","89","81"
"的情况下","88","88"
"中国企业","87","65"
"中国国家","86","85"
"经济衰退","85","82"
"情人士透","85","84"
"经济增长","83","78"
"社交媒体","82","77"
"冠病疫苗","80","77"
"以来的最","79","77"
"澳大利亚","79","69"
"同比增长","78","67"
"阿里巴巴","75","52"
"约合人民","75","67"
"确诊病例","75","64"
"合人民币","74","66"
"车制造商","74","69"
"防疫措施","72","70"
"印度尼西","71","70"
"度尼西亚","71","70"
"股闻天下","71","71"
"万亿美元","70","57"
"卡塔尔世","70","67"
"塔尔世界","70","67"
"尔世界杯","69","66"
"个百分点","67","61"
"美国经济","66","57"
"科技巨头","66","63"
"专栏记者","66","66"
"汽车制造","66","60"
"俄罗斯总","64","63"
"小马可斯","64","54"
"全球最大","64","63"
"疫情防控","63","62"
"总统普京","63","62"
"日本政府","63","62"
"斯里兰卡","63","43"
"的半导体","62","56"
"罗斯总统","61","60"
"价格上涨","61","60"
"核酸检测","60","50"
"科技公司","60","57"
"斯总统普","59","59"
"监管机构","59","57"
"华尔街日","59","59"
"尔街日报","59","59"
"竞争对手","56","54"
"货币政策","56","54"
"最高水平","55","53"
"调查显示","55","55"
"自动驾驶","55","36"
"乌克兰战","54","54"
"的背景下","53","53"
"越来越多","52","51"
"日本经济","51","51"
"研究人员","50","48"
"据知情人","50","49"
"西方国家","50","46"
"的可能性","50","49"
"世界经济","49","47"
"美国政府","49","49"
"该公司的","49","46"
"年来首次","49","48"
"基础设施","49","48"
"在俄罗斯","49","41"
"入侵乌克","48","48"
"侵乌克兰","48","48"
"美国联邦","48","48"
"乌克兰的","47","45"
"不确定性","46","46"
"月以来的","46","46"
"新冠病毒","46","43"
"国家主席","45","45"
"中国市场","45","41"
"大宗商品","45","38"
"外交部长","45","43"
"菲律宾总","45","43"
"律宾总统","45","43"
"航空公司","45","40"
"在新加坡","45","44"
"克兰战争","45","45"
"在乌克兰","45","44"
"以来首次","45","45"
"动态清零","44","44"
"疫苗接种","43","38"
"农历新年","43","37"
"俄乌战争","42","41"
"与俄罗斯","42","41"
"人士表示","42","42"
"的一部分","42","42"
"外汇储备","42","25"
"地缘政治","41","41"
"分析人士","41","40"
"防疫政策","41","40"
"气候变化","41","37"
"半导体的","41","38"
"俄罗斯入","40","40"
"感染人数","40","32"
"利率上升","40","38"
"的数据显","40","40"
"拜登政府","40","39"
"封控措施","40","38"
"家主席习","39","39"
"主席习近","39","39"
"席习近平","39","39"
"罗斯入侵","39","39"
"人工智能","39","35"
"来的最高","39","38"
"国家安全","39","39"
"联合早报","39","39"
"新冠疫苗","39","31"
